event,visible,datetime,lon,lat,sensor-type,individual-taxon-canonical-name,tag-local-identifier,id,study-name
16561517811,true,2018-06-26 16:59:44.000,-145.8244019,70.1291656,"gps","Calidris melanotos","175173","175173","Arctic shorebird migration tracking study - Pectoral Sandpiper"
16561517812,true,2018-06-27 17:01:52.000,-145.8265533,70.1287003,"gps","Calidris melanotos","175173","175173","Arctic shorebird migration tracking study - Pectoral Sandpiper"
16561517813,true,2018-06-28 16:59:44.000,-145.8263092,70.1287842,"gps","Calidris melanotos","175173","175173","Arctic shorebird migration tracking study - Pectoral Sandpiper"
16561517814,true,2018-06-29 17:01:52.000,-145.8241119,70.1288071,"gps","Calidris melanotos","175173","175173","Arctic shorebird migration tracking study - Pectoral Sandpiper"
16561517815,true,2018-06-30 16:59:44.000,-145.8270569,70.1285782,"gps","Calidris melanotos","175173","175173","Arctic shorebird migration tracking study - Pectoral Sandpiper"
16561517816,true,2018-07-01 17:01:52.000,-145.8233795,70.1290894,"gps","Calidris melanotos","175173","175173","Arctic shorebird migration tracking study - Pectoral Sandpiper"
16561517817,true,2018-07-02 16:59:44.000,-145.8210144,70.1305695,"gps","Calidris melanotos","175173","175173","Arctic shorebird migration tracking study - Pectoral Sandpiper"
16561517818,true,2018-07-03 17:01:52.000,-145.8465729,70.120079,"gps","Calidris melanotos","175173","175173","Arctic shorebird migration tracking study - Pectoral Sandpiper"
16561517819,true,2018-07-04 16:59:44.000,-145.8370209,70.1206436,"gps","Calidris melanotos","175173","175173","Arctic shorebird migration tracking study - Pectoral Sandpiper"
16561517820,true,2018-07-05 17:01:52.000,-145.8245544,70.1291428,"gps","Calidris melanotos","175173","175173","Arctic shorebird migration tracking study - Pectoral Sandpiper"
16561517821,true,2018-07-06 16:59:44.000,-145.8370209,70.1207199,"gps","Calidris melanotos","175173","175173","Arctic shorebird migration tracking study - Pectoral Sandpiper"
16561517822,true,2018-07-07 17:01:52.000,-145.8262329,70.116394,"gps","Calidris melanotos","175173","175173","Arctic shorebird migration tracking study - Pectoral Sandpiper"
16561517823,true,2018-07-08 16:59:44.000,-145.8304138,70.1148834,"gps","Calidris melanotos","175173","175173","Arctic shorebird migration tracking study - Pectoral Sandpiper"
16561517824,true,2018-07-09 17:01:52.000,-145.8289032,70.1144943,"gps","Calidris melanotos","175173","175173","Arctic shorebird migration tracking study - Pectoral Sandpiper"
16561517825,true,2018-07-10 16:59:44.000,-145.8271942,70.1158295,"gps","Calidris melanotos","175173","175173","Arctic shorebird migration tracking study - Pectoral Sandpiper"
