event,lon,lat,id,geo,datetime
12049665465,-50.379,61.711,66353,POINT (-50.379 61.711),2007-01-12 06:38:00.000
12049665430,-52.596,65.665,66353,POINT (-52.596 65.66500000000001),2006-12-22 06:53:00.000
12049665440,-58.113,66.575,66353,POINT (-58.113 66.575),2006-12-25 16:17:00.000
12049683742,-59.704,63.893,128148,POINT (-59.704 63.893),2013-12-13 07:16:00.000
12049639544,-59.731,65.165,66358,POINT (-59.731 65.16500000000001),2006-12-28 23:32:00.000
12049683727,-60.909,63.949,128148,POINT (-60.909 63.949),2013-12-07 23:14:00.000
12049683721,-60.979,63.961,128148,POINT (-60.979 63.961),2013-12-07 07:37:00.000
12049683734,-61.09,64.106,128148,POINT (-61.09 64.10599999999999),2013-12-11 03:04:00.000
12049683737,-61.094,64.125,128148,POINT (-61.094 64.125),2013-12-11 15:09:00.000
12049683728,-61.128,63.732,128148,POINT (-61.128 63.732),2013-12-09 01:20:00.000
12049683703,-61.213,66.596,128148,POINT (-61.213 66.596),2013-11-29 15:12:00.000
12049683718,-61.232,64.085,128148,POINT (-61.232 64.08499999999999),2013-12-05 13:04:00.000
12049639505,-61.275,65.347,66358,POINT (-61.275 65.34699999999999),2006-12-23 20:34:00.000
12049639493,-61.283,66.719,66358,POINT (-61.283 66.71899999999999),2006-12-21 19:40:00.000
12049683747,-61.316,64.083,128148,POINT (-61.316 64.083),2013-12-13 19:49:00.000
12049639497,-61.43,66.196,66358,POINT (-61.43 66.196),2006-12-22 12:36:00.000
12049683729,-61.436,63.71,128148,POINT (-61.436 63.71),2013-12-09 15:05:00.000
12049663417,-61.474,66.282,128152,POINT (-61.474 66.282),2014-12-09 07:42:00.000
12049683748,-61.531,63.89,128148,POINT (-61.531 63.89),2013-12-15 01:41:00.000
12049665443,-61.556,63.694,66353,POINT (-61.556 63.694),2006-12-27 06:05:00.000
12049689741,-61.564,66.489,201671,POINT (-61.564 66.489),2005-07-20 07:49:00.000
12049663420,-61.581,65.729,128152,POINT (-61.581 65.729),2014-12-09 19:51:00.000
12049689763,-61.603,66.845,201671,POINT (-61.603 66.845),2005-07-20 20:32:00.000
12049639522,-61.643,65.087,66358,POINT (-61.643 65.087),2006-12-26 11:16:00.000
12049683707,-61.654,64.987,128148,POINT (-61.654 64.98699999999999),2013-12-01 05:58:00.000
12049665464,-61.66,63.99,66353,POINT (-61.66 63.99),2007-01-01 23:41:00.000
12049665457,-61.676,64.01,66353,POINT (-61.676 64.01000000000001),2006-12-31 09:41:00.000
12049649452,-61.684,62.885,114505,POINT (-61.684 62.885),2013-01-06 09:56:00.000
12049665460,-61.711,63.958,66353,POINT (-61.711 63.958),2007-01-01 06:51:00.000
12049665452,-61.723,64.16,66353,POINT (-61.723 64.16),2006-12-30 10:06:00.000
12049665434,-61.781,67.456,66353,POINT (-61.781 67.456),2006-12-23 12:17:00.000
12049639530,-61.804,64.792,66358,POINT (-61.804 64.792),2006-12-26 23:19:00.000
12049639507,-61.814,64.779,66358,POINT (-61.814 64.779),2006-12-24 09:16:00.000
12049683713,-61.923,64.263,128148,POINT (-61.923 64.26300000000001),2013-12-03 11:26:00.000
